"Offer ID","Created On","Offer Name","Categories","Cities","Merchant Name","Type","UPCs","IIDs","Price","Sales","Qty Sold","Qty Avl","Status"
"4925","2017-05-19 00:00:00","Air Force Museum Shop eGift Cards","$25 Gift Cards;
Thanksgiving;
Kids & Baby;
$100 Gift Cards;
$10 Gift Cards;
Vacation;
$20 Gift Cards;
Christmas;
Clothing;
$50 Gift Cards;
Couples;
Travel;
$15 Gift Cards;
Black Friday;
eGift Cards","Bakers Plus","Air Force Museum Gift Shop","Gift Card Offer","07675018611","74249","Variable (5-250);
Fixed
25;50;75;100;200","475","13","Unlimited","LIVE"
"4925","2017-05-19 00:00:00","Air Force Museum Shop eGift Cards","$25 Gift Cards;
Thanksgiving;
Kids & Baby;
$100 Gift Cards;
$10 Gift Cards;
Vacation;
$20 Gift Cards;
Christmas;
Clothing;
$50 Gift Cards;
Couples;
Travel;
$15 Gift Cards;
Black Friday;
eGift Cards","Bakers Plus","Air Force Museum Gift Shop","Gift Card Offer","07675018611","74249","Variable (5-250);
Fixed
25;50;75;100;200","475","13","Unlimited","LIVE"
"4923","2017-05-19 00:00:00","Aeropostale Gift Cards","$20 Gift Cards;
Husband;
Shopping;
$50 Gift Cards;
Sister;
Black Friday;
Physical Gift Cards;
Back to School;
$15 Gift Cards;
Thanksgiving;
Men;
$25 Gift Cards;
Brother;
Women;
$100 Gift Cards;
Wife;
Christmas;
Clothing","Bakers Plus","Aéropostale","Physical Gift Card Offer","07675005058","73354","Variable (15-250);
Fixed
25;50;75;100;200","1385","32","Unlimited","LIVE"
"4922","2017-05-19 00:00:00","Aeropostale eGift Cards","$100 Gift Cards;
Wife;
Christmas;
$20 Gift Cards;
Husband;
Shopping;
$50 Gift Cards;
Sister;
Black Friday;
eGift Cards;
Back to School;
$15 Gift Cards;
Thanksgiving;
Men;
$25 Gift Cards;
Brother;
Women;
Clothing","Bakers Plus","Aéropostale","Gift Card Offer","07675008780
07675008780
07675008780
07675008780
07675008780
07675008780
07675008780
07675008780
07675008780","73353
36452
60838
36454
36455
60837
60835
36448
36451","Variable (5-200);
Fixed
25;50;75;100;200","2721.60","51","Unlimited","LIVE"
"4921","2017-05-19 00:00:00","Aerie eGift Cards","Back to School;
$15 Gift Cards;
Black Friday;
Women;
$25 Gift Cards;
Thanksgiving;
Valentine's Day;
$100 Gift Cards;
Wife;
Clothing;
$20 Gift Cards;
Christmas;
Mother's Day;
$50 Gift Cards;
Sister;
Birthday;
eGift Cards","Bakers Plus","aerie","Gift Card Offer","07675013944","67762","Variable (15-200);
Fixed
25;50;75;100;200","3687.86","79","Unlimited","LIVE"
"4921","2017-05-19 00:00:00","Aerie eGift Cards","Back to School;
$15 Gift Cards;
Black Friday;
Women;
$25 Gift Cards;
Thanksgiving;
Valentine's Day;
$100 Gift Cards;
Wife;
Clothing;
$20 Gift Cards;
Christmas;
Mother's Day;
$50 Gift Cards;
Sister;
Birthday;
eGift Cards","Bakers Plus","aerie","Gift Card Offer","07675013944","67762","Variable (15-200);
Fixed
25;50;75;100;200","3687.86","79","Unlimited","LIVE"
"4920","2017-05-19 00:00:00","Movie Tickets.com eGift Cards","eGift Cards;
Brother;
Valentine's Day;
Retirement;
Thanksgiving;
Birthday;
Couples;
Mother's Day;
Entertainment;
Wife;
Black Friday;
Anniversary;
Easter;
Husband;
Father's Day;
Digital Content","Bakers Plus","MovieTickets.com","Gift Card Offer","07675011858","79107","","875","25","0","LIVE"
"4919","2017-05-19 00:00:00","Advance Auto Parts Gift Card","$15 Gift Cards;
Thanksgiving;
Father's Day;
$25 Gift Cards;
Brother;
Occasions;
$100 Gift Cards;
$10 Gift Cards;
Christmas;
Men;
$20 Gift Cards;
Husband;
Shopping;
$50 Gift Cards;
Wife;
Black Friday;
Travel","Bakers Plus","Advance Auto Parts","Physical Gift Card Offer","07675014355","68573","Variable (5-500);
Fixed
25;50;75;100;200","4436.29","66","Unlimited","LIVE"
"4919","2017-05-19 00:00:00","Advance Auto Parts Gift Card","$15 Gift Cards;
Thanksgiving;
Father's Day;
$25 Gift Cards;
Brother;
Occasions;
$100 Gift Cards;
$10 Gift Cards;
Christmas;
Men;
$20 Gift Cards;
Husband;
Shopping;
$50 Gift Cards;
Wife;
Black Friday;
Travel","Bakers Plus","Advance Auto Parts","Physical Gift Card Offer","07675014355","68573","Variable (5-500);
Fixed
25;50;75;100;200","4436.29","66","Unlimited","LIVE"
"4916","2017-05-19 00:00:00","1800Flowers.com Gift Card","Mother's Day;
$100 Gift Cards;
Wife;
Mother's Day;
Anniversary;
Easter;
$20 Gift Cards;
Teacher;
Valentine's Day;
Physical Gift Cards;
$50 Gift Cards;
Sister;
Women;
Birthday;
Retirement;
$15 Gift Cards;
Christmas;
Wedding;
$25 Gift Cards;
Couples;
Occasions","Bakers Plus","1800 flowers.com","Physical Gift Card Offer","07675014629
07675014629","69778
100846","Variable (15-500);
Fixed
25;50;75;100;200","607.95","8","Unlimited","LIVE"
